review_description,rating,developer_response,review_description_after_removing_stop_words
so far so good  slightly smiling face ,3,Hi! What did you dislike about the game? You gave us 3 stars. Please write your opinion. It's very important for us.,far good  slightly smiling face 
feel look like home escape,3,Hi! We are sorry about this. We hope that you will give a chance to our game and change your mind about the game.,feel look like home escape
most amazing game  smiling face with hearteyes  smiling face with hearteyes ,5,,amazing game  smiling face hearteyes  smiling face hearteyes 
this is a cute fun game it keep up a good pace im looking forward to finding out where the story will lead update after a few month away from the game i started playing it again it still fun,5,,cute fun game keep good pace im looking forward finding story lead update month away game started playing still fun
i cant even open the game it load for about  second and then crash a real shame because i wa really looking forward to playing it,1,Hey! Thank you for feedback. We are aware of the problem. We'll fix it in the next update.,cant even open game load  second crash real shame wa really looking forward playing
the game is too good  thumb up  but ad is to bad,5,,game good  thumb  ad bad
fun story but the game itself is actually difficult once you get to level ,5,,fun story game actually difficult get level 
been playing this game for a while now so far i havent encountered any bug the game play is smooth and really entertaining never played a  match game with a good story plot some level are very challenging but not to the point that youd buy some bundle to get over it  for me,5,,playing game far havent encountered bug game play smooth really entertaining never played  match game good story plot level challenging point youd buy bundle get 
i love this app because because  rolling on the floor laughing ,5,,love app  rolling floor laughing 
just started playing but seems pretty good so far,5,,started playing seems pretty good far
